gene_name,Dmel,Dsec,Dsim,Dmel_m,Dmel_f,Dsec_m1,Dsec_m2,Dsec_m3,Dsec_f1,Dsec_f2,Dsec_f3,Dsec_m4,Dsec_m5,Dsec_m6,Dsec_f4,Dsec_f5,Dsec_f6,Dsim_m1,Dsim_m2,Dsim_m3,Dsim_f1,Dsim_f2,Dsim_f3
128up,FBgn0010339,FBgn0176208,FBgn0182597,17.943,16.6354,14.9258,14.7532,15.0685,15.0939,14.6726,15.6773,21.3159,22.4084,20.5589,24.0729,23.7674,23.6438,18.4678,17.4375,16.8465,16.0354,16.4055,14.3005
14-3-3epsilon,FBgn0020238,FBgn0170212,FBgn0186839,268.193,265.011,168.898,164.403,171.302,160.786,155.917,155.029,226.149,225.576,224.255,234.12,223.577,229.271,290.394,303.448,297.16,312.65,311.467,320.515
14-3-3zeta,FBgn0004907,FBgn0176067,FBgn0184006,608.285,590.203,338.166,344.711,338.386,312.564,303.459,307.869,425.7,433.978,430.122,434.083,451.335,447.06,458.983,463.003,450.914,447.379,458.938,467.509
140up,FBgn0010340,FBgn0180739,FBgn0191925,18.3922,18.157,15.0106,17.3518,15.8593,17.9896,18.8519,16.2476,21.8005,19.8053,22.3982,19.568,21.586,18.673,12.431,11.8321,13.9159,10.6529,12.7137,12.274
18w,FBgn0004364,FBgn0176867,FBgn0067532,11.6521,9.26887,5.37747,5.56814,5.22179,4.58517,4.80095,4.79503,6.78541,6.77361,6.97893,7.23974,7.57955,7.50303,9.59461,8.78817,10.3805,10.1188,9.32535,10.0377
26-29-p,FBgn0250848,FBgn0180299,FBgn0186151,73.3859,74.9411,52.4323,55.3742,52.5119,53.7885,59.4156,53.7261,73.118,75.4044,76.8472,88.9917,86.3835,86.0287,100.663,101.398,108.453,115.955,115.174,114.217
312,FBgn0029514,FBgn0169330,FBgn0185324,11.0786,11.9913,7.66329,8.43098,9.45093,9.97871,9.55572,8.84884,11.8325,10.294,12.3424,8.84808,10.0405,9.67935,8.75324,7.56957,8.94737,8.02981,6.5811,8.35171
4EHP,FBgn0053100,FBgn0178382,FBgn0189856,23.2863,23.0452,3.80562,3.61769,3.54254,3.6103,4.44645,4.25137,4.69786,4.32454,4.658,4.71604,4.22996,4.86241,6.1138,3.93694,6.2272,4.78934,3.90828,4.59566
5-HT7,FBgn0004573,FBgn0167057,FBgn0188297,1.61994,1.72021,0.783465,1.04289,0.721115,0.672567,0.519592,0.820926,1.2385,1.33336,1.27611,1.27472,0.805138,1.57986,1.0702,1.37946,0.980989,1.19665,1.39099,1.06312
7B2,FBgn0041707,FBgn0165752,FBgn0191274,148.754,151.514,119.073,121.802,120.869,115.034,114.515,110.29,168.252,171.348,168.453,170.872,170.7,172.804,226.885,226.443,231.968,243.799,252.928,248.784
A16,FBgn0028965,FBgn0180777,FBgn0193504,14.7878,14.3857,10.5054,10.099,10.148,10.0646,9.77132,10.5397,13.5616,13.9284,14.9202,12.6984,13.4975,13.6156,16.5386,24.1072,17.2878,21.1774,28.893,23.0233
ACC,FBgn0033246,FBgn0175616,FBgn0181977,28.8838,27.6221,22.0755,21.9811,21.7248,19.5001,19.3013,19.6385,29.1909,29.5857,29.7861,29.6197,31.2833,30.0845,21.2964,21.5065,21.285,22.8434,23.3371,23.7136
AGO1,FBgn0262739,FBgn0178121,FBgn0084546,32.5826,32.6567,3.43198,3.50256,4.42248,3.26006,3.41311,3.0186,2.11135,2.5823,2.06274,2.20821,2.00327,1.99829,0.499646,0.628838,0.370195,0.318351,0.54319,0.681463
