"Gene","Dsec_Male_TW","Dmel_Male_TW","Log2_Male_TW","Dsec_Female_TW","Dmel_Female_TW","Log2_Female_TW","Dsec_Male_JP","Dsim_Male_JP","Log2_Male_JP","Dsec_Female_JP","Dsim_Female_JP","Log2_Female_JP"
"Obp19a",4661.82,1825.67,1.35,8031.37,2712.65,1.57,4230.05,2176.6,0.96,6064.62,3276.64,0.89
"Obp50a",24.9,0.21,6.83,26.28,0.45,5.82,15.49,1.15,3.74,14.64,1.1,3.73
"Obp56d",10069.2,1361.84,2.89,9397.71,1468.23,2.68,9013.85,2886.82,1.64,7123.37,3189.46,1.16
"CheA75a",34.08,12.26,1.47,32.84,13.76,1.25,19.01,0.38,5.61,11.35,0,10.15
"CheA87a",124.59,4.2,4.89,155.3,4.39,5.14,96.85,10.89,3.15,100.81,12.09,3.06
"Or23a",24.79,2.66,3.21,24.82,2.52,3.3,26.2,9.57,1.45,22.97,9.09,1.34
"Or35a",48.97,17.03,1.52,65.24,19.43,1.75,49.05,7.6,2.69,56.32,8.71,2.69
"Or56a",54.51,24.52,1.15,60.69,29.17,1.06,72.64,18.78,1.95,71.75,22.41,1.68
"Or67b",24.71,10.27,1.27,24.53,12.41,0.98,23.47,7.17,1.71,20.52,7.92,1.37
"Or85b",86.31,25.89,1.74,84.46,30.32,1.48,83.65,11.03,2.92,70.56,13.25,2.41
"Or85c",52.9,2.73,4.27,89.65,3.51,4.67,44.63,2.75,4.02,68.06,5.66,3.59
"Gr64f",24.08,11.06,1.12,31.95,15.64,1.03,19.34,2.37,3.02,23.18,3.88,2.58
"Ir84a",16.59,3.45,2.26,12.72,3.47,1.87,16.84,1.68,3.32,12.58,1.82,2.78
"Obp83a",4145.5,10045.71,-1.28,3297.44,8686.27,-1.4,4024.98,6985.08,-0.8,2938.74,6275.37,-1.09
"Obp99c",12.46,102.72,-3.04,17.87,110.74,-2.63,35.37,312.5,-3.14,47.38,360.2,-2.93
"Obp99d",3.32,36.5,-3.45,3.36,34.83,-3.37,1.66,23.6,-3.82,1.96,22.58,-3.52
"Or9a",0.93,33.59,-5.15,3.54,52.1,-3.88,0.59,12.68,-4.4,2.03,31.89,-3.97
"Or42b",63.92,129.49,-1.02,64.98,160.73,-1.31,71.94,157.33,-1.13,69,189.11,-1.45
