"Gene","Dsec_Mal_AS_R1","Dsec_Mal_AS_R2","Dsec_Mal_AS_R3","Dsec_Fem_AS_R1","Dsec_Fem_AS_R2","Dsec_Fem_AS_R3","Dsec_Mal_JP_R1","Dsec_Mal_JP_R2","Dsec_Mal_JP_R3","Dsec_Fem_JP_R1","Dsec_Fem_JP_R2","Dsec_Fem_JP_R3","Dsim_Mal_JP_R1","Dsim_Mal_JP_R2","Dsim_Mal_JP_R3","Dsim_Fem_JP_R1","Dsim_Fem_JP_R2","Dsim_Fem_JP_R3","Dmel_Mal_AS_R1","Dmel_Fem_AS_R1"
"128up",14.9258,14.7532,15.0685,15.0939,14.6726,15.6773,21.3159,22.4084,20.5589,24.0729,23.7674,23.6438,18.4678,17.4375,16.8465,16.0354,16.4055,14.3005,18.109,16.2916
"14-3-3epsilon",168.898,164.403,171.302,160.786,155.917,155.029,226.149,225.576,224.255,234.12,223.577,229.271,290.394,303.448,297.16,312.65,311.467,320.515,268.334,256.645
"14-3-3zeta",338.166,344.711,338.386,312.564,303.459,307.869,425.7,433.978,430.122,434.083,451.335,447.06,458.983,463.003,450.914,447.379,458.938,467.509,566.663,535.822
"140up",15.0106,17.3518,15.8593,17.9896,18.8519,16.2476,21.8005,19.8053,22.3982,19.568,21.586,18.673,12.431,11.8321,13.9159,10.6529,12.7137,12.274,14.2437,14.1607
"18w",5.37747,5.56814,5.22179,4.58517,4.80095,4.79503,6.78541,6.77361,6.97893,7.23974,7.57955,7.50303,9.59461,8.78817,10.3805,10.1188,9.32535,10.0377,11.7209,9.05493
"26-29-p",52.4323,55.3742,52.5119,53.7885,59.4156,53.7261,73.118,75.4044,76.8472,88.9917,86.3835,86.0287,100.663,101.398,108.453,115.955,115.174,114.217,73.6349,73.0999
"312",7.66329,8.43098,9.45093,9.97871,9.55572,8.84884,11.8325,10.294,12.3424,8.84808,10.0405,9.67935,8.75324,7.56957,8.94737,8.02981,6.5811,8.35171,8.01949,8.33756
"4EHP",3.80562,3.61769,3.54254,3.6103,4.44645,4.25137,4.69786,4.32454,4.658,4.71604,4.22996,4.86241,6.1138,3.93694,6.2272,4.78934,3.90828,4.59566,23.3405,22.3989
"5-HT7",0.783465,1.04289,0.721115,0.672567,0.519592,0.820926,1.2385,1.33336,1.27611,1.27472,0.805138,1.57986,1.0702,1.37946,0.980989,1.19665,1.39099,1.06312,2.16462,2.37971
"7B2",119.073,121.802,120.869,115.034,114.515,110.29,168.252,171.348,168.453,170.872,170.7,172.804,226.885,226.443,231.968,243.799,252.928,248.784,149.035,147.737
"A16",10.5054,10.099,10.148,10.0646,9.77132,10.5397,13.5616,13.9284,14.9202,12.6984,13.4975,13.6156,16.5386,24.1072,17.2878,21.1774,28.893,23.0233,14.7587,13.9485
"ACC",22.0755,21.9811,21.7248,19.5001,19.3013,19.6385,29.1909,29.5857,29.7861,29.6197,31.2833,30.0845,21.2964,21.5065,21.285,22.8434,23.3371,23.7136,29.0516,26.984
"AGO1",3.43198,3.50256,4.42248,3.26006,3.41311,3.0186,2.11135,2.5823,2.06274,2.20821,2.00327,1.99829,0.499646,0.628838,0.370195,0.318351,0.54319,0.681463,32.8018,31.8362
"AIF",8.67075,7.60817,8.17585,7.59608,8.3729,8.48748,10.9731,10.7688,12.1467,10.7607,9.66802,9.50913,13.3547,12.9253,12.6731,8.31439,7.80144,7.5129,13.8351,13.2479
"AP-1gamma",14.2786,14.2682,14.2549,11.9679,12.8576,12.7722,15.5369,16.0339,14.8232,16.0881,16.0428,17.296,14.7588,16.6118,14.541,16.7566,17.1117,17.4542,34.9014,34.8508
"AP-1sigma",83.0449,85.1131,85.2563,75.0791,72.3939,77.3879,95.4442,105.795,97.3207,109.413,100.679,113.865,133.876,140.563,128.137,149.518,145.379,151.454,106.356,106.136
"AP-2",2.82029,2.69206,2.57983,3.00328,2.89739,2.3225,4.50171,4.16771,3.83816,4.5739,4.67913,4.8084,5.60859,5.44024,5.68263,5.96869,6.60398,5.78509,2.11842,2.11126
"AP-2sigma",80.8959,88.795,86.8555,86.1305,82.4493,76.2391,129.444,130.421,131.34,136.113,147.427,155.438,208.287,181.687,192.989,225.2,220.393,227.743,101.57,94.7364
"AP-47",31.9067,32.9516,32.3629,31.4553,31.6349,31.3947,39.6527,38.8732,40.5239,42.1831,43.605,43.594,44.0466,47.0934,44.5364,48.8671,46.8478,47.3549,46.2107,43.7384
"AP-50",40.3573,40.6319,37.9022,35.4457,37.9861,35.2938,55.6657,55.2942,56.9593,58.1513,60.2201,59.6658,69.5642,70.0129,71.1878,73.2223,72.7723,71.7697,69.169,64.0792
"APC4",2.4513,2.56565,2.65984,1.94027,2.42295,2.2117,2.84883,2.89626,3.15599,2.66951,2.93249,2.93152,3.33159,3.78705,2.93293,3.86365,3.12,3.19491,3.99443,3.31852
"APP-BP1",5.83996,5.29148,5.17869,5.35941,5.61677,5.49399,6.45537,7.35993,6.32728,6.44312,6.86386,5.9506,8.38899,7.38243,8.42782,5.57437,5.78404,4.92811,7.48239,6.86513
"AQP",37.7225,36.9877,40.5573,34.0556,35.8259,33.8979,48.3986,51.1509,48.4831,51.4446,52.2818,54.133,66.7367,64.9437,65.8209,59.8322,61.4229,66.0618,27.0328,22.3979
"AR-2",0,0.0569359,0,0,0.204494,0,0.243634,0.0436789,0.125303,0.169955,0.352616,0.282967,1.10607,0.943776,1.28059,0.943173,0.336269,0.535725,0.299349,0.303225
"ASPP",24.893,25.265,25.7394,18.7777,18.7697,19.7038,34.3497,35.4275,35.4369,37.7049,38.9235,38.1768,22.0524,20.9865,22.046,28.0431,27.7267,28.054,56.2122,50.3501
"ATP7",4.01401,3.78801,3.61181,2.65559,2.94248,2.97194,5.30945,5.26816,5.01619,5.08532,5.10168,5.24295,7.16996,6.79225,7.56555,7.93602,6.76468,7.29128,9.18395,8.34102
"ATPCL",46.5578,48.5218,47.5826,40.5231,41.6499,42.0701,52.0199,53.3167,51.7244,54.813,58.0607,56.971,57.5401,57.9866,58.5328,65.3961,67.0487,66.1123,84.5735,81.8862
"ATPsyn-Cf6",1075.57,1072.58,1042.48,1024.64,1022.1,986.164,1489.64,1503.85,1486.7,1664.43,1620.44,1612.03,1478.89,1457.11,1464.29,1500.46,1512.47,1506.79,544.15,500.967
"ATPsyn-b",517.131,535.257,522.607,504.333,495.402,491.669,817.803,823.906,826.086,847.672,850.069,854.902,1002.32,1026.9,1002.96,950.737,949.132,945.749,714.749,650.631
"ATPsyn-d",664.704,679.801,675.102,645.17,646.627,653.544,907.212,926.342,913.516,921.074,950.292,928.418,957.5,951.517,928.155,934.717,943.834,946.247,530.827,486.543
"ATPsyn-gamma",460.652,466.597,465.295,430.096,433.918,434.63,675.649,689.001,676.141,711.976,712.843,722.833,721.947,744.234,746.549,720.268,720.647,722.745,470.815,434.683
"Aac11",43.34,44.9448,45.0364,37.935,40.3708,41.8935,49.7688,51.0511,52.3239,45.945,50.9011,49.1091,55.2736,55.2488,53.5573,57.0388,57.1629,54.6632,74.384,72.5654
"Aats-ala",7.68248,8.39737,7.98664,7.12486,7.36718,7.43174,9.33894,9.83717,9.18702,10.1158,9.93152,9.39336,9.67465,9.70426,8.39113,8.92818,9.81475,10.4336,12.8322,11.9358
"Aats-ala-m",3.26035,3.84478,3.77575,3.50814,3,3.48572,4.62517,4.75876,4.5194,4.33384,4.70261,4.61687,10.5047,10.8377,10.2249,10.075,12.181,10.7483,6.60505,6.36287
"Aats-arg",7.2881,7.93314,7.3927,6.25621,7.32156,7.17539,10.0177,10.3583,10.3661,9.28152,9.33789,8.90022,16.8264,15.5147,15.4781,15.6538,14.8509,14.2967,10.1304,9.74022
"Aats-asp",12.3027,13.161,13.2118,12.1265,11.9446,12.5737,18.6692,18.4333,18.0517,19.3437,19.9962,20.4612,22.9749,23.6526,23.082,23.3414,22.838,23.4693,23.8428,21.25
"Aats-cys",3.79107,4.09634,4.48555,4.06967,4.42755,4.33092,5.40801,5.0805,5.34429,5.54995,4.76461,4.87625,4.66273,4.63381,3.97405,4.41577,4.49783,4.58146,7.27537,6.75026
"Aats-gln",7.48135,7.05798,7.25441,6.78646,6.36525,7.52964,9.44396,9.62956,9.09237,9.69057,9.41036,10.7234,10.4698,11.833,11.4923,10.0597,10.3749,10.5467,9.04959,8.78103
"Aats-glupro",4.25694,4.19114,3.85086,3.93926,3.89449,3.73492,4.66593,4.88213,4.90717,5.00035,4.4764,4.63322,7.08816,7.00938,6.98463,6.24239,6.93641,6.72896,8.90181,8.88674
"Aats-gly",8.05463,7.93149,7.98638,8.0111,7.82526,7.82439,9.64874,9.65806,10.0649,9.29169,9.59283,10.354,11.2635,11.7676,11.1566,11.4818,11.9341,11.893,14.899,13.9545
